clustid,db,recnum,nclust
30697331,829,3036,2
30697331,709,1722,2
30698178,829,3042,2
30698178,709,1728,2
30699048,829,3050,2
30699048,709,1735,2
30699253,829,3054,3
30699253,829,3107,3
30699253,709,1739,3
30702178,829,3065,2
30702178,709,1751,2
30704699,829,3080,3
30704699,709,1767,3
30704699,829,3104,3
30704981,829,3082,2
30704981,709,1769,2
30705022,829,3083,2
30705022,709,1770,2
30705510,829,3085,2
30705510,709,1773,2
30705882,829,3086,2
30705882,709,1774,2
30706980,709,1777,2
30706980,829,3090,2
30709014,709,1783,2
30709014,829,3095,2
30709047,709,1784,2
30709047,829,3096,2
99341731,829,3116,2
99341731,709,1801,2
99343016,829,3124,2
99343016,709,1808,2
99343272,709,1810,3
99343272,829,3126,3
99343272,829,3109,3
99345041,709,1820,3
99345041,829,3136,3
99345041,829,3483,3
99345388,709,4296,3
99345388,709,4297,3
99345388,829,3139,3
99345599,829,3142,2
99345599,709,1824,2
99345784,829,3145,2
99345784,709,1827,2
99345934,709,1794,3
99345934,829,3146,3
99345934,709,1828,3
99346427,829,3147,2
99346427,709,1830,2
99346431,829,3148,2
99346431,709,1831,2
99348100,829,3158,3
99348100,709,1840,3
99348100,829,3110,3
99348193,829,3160,2
99348193,709,1842,2
99349662,829,3176,2
99349662,709,1858,2
99350061,829,3182,2
99350061,709,1864,2
99350462,709,1795,2
99350462,829,3113,2
99350463,709,1797,2
99350463,709,1871,2
99350621,829,3191,2
99350621,709,1874,2
99350693,829,3192,2
99350693,709,1875,2
99351751,829,3206,2
99351751,709,1889,2
99351752,829,3207,2
99351752,709,1890,2
99352476,829,3213,2
99352476,709,1896,2
99353006,829,3218,2
99353006,709,1901,2
99353157,829,3222,2
99353157,709,1905,2
99353380,829,3224,3
99353380,829,3154,3
99353380,709,1908,3
99354796,829,3229,2
99354796,709,1913,2
99355222,829,3231,2
99355222,709,1915,2
99355293,829,3233,2
99355293,709,1917,2
99355688,709,1921,3
99355688,829,3111,3
99355688,829,3237,3
99355770,829,3239,2
99355770,709,1923,2
99356718,829,3244,2
99356718,709,1928,2
99358260,709,1938,2
99358260,829,3254,2
99360020,829,3264,2
99360020,709,1948,2
99360023,829,3265,2
99360023,709,1949,2
99360155,829,3266,2
99360155,709,1950,2
99361392,709,1956,3
99361392,829,3274,3
99361392,709,1,3
99361529,709,1960,2
99361529,829,3278,2
99361790,709,1798,4
99361790,829,5873,4
99361790,709,1961,4
99361790,829,3279,4
99363769,829,3293,2
99363769,709,1975,2
99364659,829,3298,2
99364659,709,1980,2
99364794,829,3299,2
99364794,709,1981,2
99364998,829,3302,2
99364998,709,1984,2
99366947,829,3323,2
99366947,709,2005,2
99368567,829,3336,2
99368567,709,2018,2
99368875,829,3340,2
99368875,709,2022,2
99368931,829,3344,2
99368931,709,2026,2
99369535,829,3350,2
99369535,709,2032,2
99369586,829,3351,2
99369586,709,2033,2
99369798,829,3354,2
99369798,709,2037,2
99370236,829,3359,2
99370236,709,2042,2
99370653,829,3364,2
99370653,709,2047,2
99371012,829,3368,2
99371012,709,2051,2
99371849,829,3376,2
99371849,709,2058,2
99372267,829,3380,2
99372267,709,2062,2
99372492,829,3381,2
99372492,709,2063,2
99372619,829,3383,2
99372619,709,2065,2
99372998,829,3384,2
99372998,709,2066,2
99373413,829,3389,2
99373413,709,2071,2
99373468,829,3390,2
99373468,709,2072,2
99373908,829,3398,2
99373908,709,2079,2
99374767,829,3404,2
99374767,709,2085,2
99375783,829,3413,2
99375783,709,2093,2
99375784,829,3414,2
99375784,709,2094,2
99375920,829,3417,2
99375920,709,2097,2
99376546,829,3428,2
99376546,709,2108,2
99376976,829,3433,2
99376976,709,2113,2
99376980,709,2114,2
99376980,829,3434,2
99377292,709,2120,2
99377292,829,3440,2
99377364,709,2122,2
99377364,829,3442,2
99377413,829,3443,2
99377413,829,3475,2
99378621,829,3459,2
99378621,709,2137,2
99378768,829,3462,2
99378768,709,2140,2
99379445,829,3469,3
99379445,709,4293,3
